"sep=,"
id,payload_encoding,transceived_at,inserted_at,device_id,interface_id,payload,meta.ack,meta.adr_ack_req,meta.chan,meta.codr,meta.confirm,meta.data_rate,meta.datr,meta.dev_nonce,meta.frame_count_up,meta.frame_port,meta.frequency,meta.gateway_stats.router_id,meta.gateway_stats.router_id_hex,meta.gateway_stats.rssi,meta.gateway_stats.snr,meta.gateway_stats.tmst,meta.ipol,meta.lns_packet_uuid,meta.lorawan_toa_ms,meta.mac_commands,meta.modu,meta.powe,meta.region,meta.region_meta.bandwidth,meta.region_meta.bitrate,meta.region_meta.code,meta.region_meta.datarate,meta.region_meta.name,meta.region_meta.spreadingfactor,meta.rfch,meta.rx,meta.size,meta.stat
0ec0af0e-088f-4b3f-befd-9b236d34e365,binary,2021-03-16 10:55:53.321313Z,2021-03-16 10:55:53.348200Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,715,1,867.1,123656386776823,00007076FF020EF7,-120,3.2,1728703219,,0ec0af0e-088f-4b3f-befd-9b236d34e365,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
6d1cb183-b3e3-4dea-8f97-317f9c064baa,binary,2021-03-16 10:55:45.110378Z,2021-03-16 10:55:45.129503Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,714,1,868.5,123656386776823,00007076FF020EF7,-119,2.2,1720495492,,6d1cb183-b3e3-4dea-8f97-317f9c064baa,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
afbfec6c-b1b0-4aec-8f56-e1b5529a5b04,binary,2021-03-16 10:55:36.892094Z,2021-03-16 10:55:36.918157Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,713,1,868.3,123656386776823,00007076FF020EF7,-116,3.2,1712287788,,afbfec6c-b1b0-4aec-8f56-e1b5529a5b04,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
b6360786-1d2a-4c72-9f05-090f658d3a0e,binary,2021-03-16 10:55:28.696453Z,2021-03-16 10:55:28.720562Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,712,1,868.1,123656386776823,00007076FF020EF7,-118,3.0,1704080084,,b6360786-1d2a-4c72-9f05-090f658d3a0e,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
95b71037-4118-4613-ab94-3dd233790682,binary,2021-03-16 10:55:20.482772Z,2021-03-16 10:55:20.508891Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,711,1,867.9,123656386776823,00007076FF020EF7,-120,2.5,1695872379,,95b71037-4118-4613-ab94-3dd233790682,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
d99bb8dc-fc27-4f79-847f-e7e89945fb32,binary,2021-03-16 10:55:12.273042Z,2021-03-16 10:55:12.296459Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,710,1,867.7,123656386776823,00007076FF020EF7,-119,2.5,1687664659,,d99bb8dc-fc27-4f79-847f-e7e89945fb32,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
e51dbf4c-bb8d-42e3-b331-eb356ef7f708,binary,2021-03-16 10:55:04.059994Z,2021-03-16 10:55:04.080439Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,709,1,867.5,123656386776823,00007076FF020EF7,-120,2.2,1679456963,,e51dbf4c-bb8d-42e3-b331-eb356ef7f708,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
0a579d26-c96e-4a87-9d84-cda8ac97b6c2,binary,2021-03-16 10:54:55.849776Z,2021-03-16 10:54:55.873153Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,708,1,867.3,123656386776823,00007076FF020EF7,-117,2.8,1671249243,,0a579d26-c96e-4a87-9d84-cda8ac97b6c2,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
d6409b44-b345-4870-aeec-87ce99489391,binary,2021-03-16 10:54:47.653280Z,2021-03-16 10:54:47.675180Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,707,1,867.1,123656386776823,00007076FF020EF7,-118,2.2,1663041563,,d6409b44-b345-4870-aeec-87ce99489391,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
7a385d7b-1227-4003-ae3e-52d3a49c8198,binary,2021-03-16 10:54:39.663621Z,2021-03-16 10:54:39.684726Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,706,1,868.5,123656386776823,00007076FF020EF7,-116,2.0,1654833820,,7a385d7b-1227-4003-ae3e-52d3a49c8198,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
